job_title,location,salary,job_type,sectors,reference,benefits,jobApply,employer,link
Reconnection Alarm Sales Consultant - Bryanston,Sandton,Market Related,Permanent,"['Security', 'Sales']",77338,,Apply before Jan 23 2024 | 15 Days left,Fidelity Services Group,https://www.careers24.com//jobs/adverts/2096564-reconnection-alarm-sales-consultant-bryanston-sandton/
Retail Sales Assistant,Cape Town,Market Related,Permanent,"['Retail', 'Sales']",77325,,Apply before Feb 09 2024 | 32 Days left,Adendorff Machinery Mart,https://www.careers24.com//jobs/adverts/2096541-retail-sales-assistant-cape-town/
Assistant Leasing Manager - Cape Town - Northern Suburbs,Cape Town,R33 333.00 - R35 167.00 Per Month,Permanent,['Property'],ALMC-TE,,Apply before Mar 09 2024 | 61 Days left,Talent Evolution (Pty) Ltd,https://www.careers24.com//jobs/adverts/2096538-assistant-leasing-manager-cape-town-northern-suburbs-cape-town/
Actuarial Specialist,Cape Town,Market Related,Permanent,['Finance'],NFP013514/AA,,Apply before Feb 08 2024 | 30 Days left,Network Recruitment,https://www.careers24.com//jobs/adverts/2096433-actuarial-specialist-cape-town/
Financial Manager,Cape Town,Market Related,Permanent,['Accounting'],NFP013517/JAD,,Apply before Jan 30 2024 | 21 Days left,Network Recruitment,https://www.careers24.com//jobs/adverts/2096470-financial-manager-cape-town/
Principal Engineer,Cape Town,Market Related,Permanent,['Business Management'],ITE005554/MSc,,Apply before Feb 08 2024 | 30 Days left,Network Recruitment,https://www.careers24.com//jobs/adverts/2096425-principal-engineer-cape-town/
Production Planner,Cape Town,Market Related,Permanent,"['Manufacturing', 'Technical']",3362,,Apply before Mar 09 2024 | 61 Days left,NDC Personnel & Contractors CC,https://www.careers24.com//jobs/adverts/2096504-production-planner-cape-town/
Software Support Engineer T1,Cape Town,Market Related,Permanent,['IT'],24202,,Apply before Feb 06 2024 | 29 Days left,Datafin Recruitment,https://www.careers24.com//jobs/adverts/2096451-software-support-engineer-t1-cape-town/
DevSecOps Engineer,Cape Town,Market Related,Permanent,['IT'],24533,,Apply before Feb 06 2024 | 29 Days left,Datafin Recruitment,https://www.careers24.com//jobs/adverts/2096438-devsecops-engineer-cape-town/
Senior Software Developer - Python,Cape Town,Market Related,Permanent,['IT'],24532,,Apply before Feb 06 2024 | 29 Days left,Datafin Recruitment,https://www.careers24.com//jobs/adverts/2096436-senior-software-developer-python-cape-town/
